GEOID,category,name,rating,lat,lon
551010004002,grocery,Racine Supermarket,0.0,42.7379493713379,-87.7901153564453
551010004002,grocery,Dean’s Mini Mart,0.0,42.7379568,-87.7901622
551010004002,grocery,Santa Fe Taqueria & Liquor Store,4.5,42.7424185313847,-87.7865309989944
551010004002,grocery,Carriage House Liquors,2.3,42.73183,-87.78471
551010004002,grocery,Mjs Mini Mart,0.0,42.74045,-87.79566
551010004002,restaurant,Butcher & Barrel Gastropub,4.0,42.731212030546814,-87.78390658540012
551010004002,restaurant,Reefpoint Brew House,3.3,42.7303802461312,-87.7756527811289
551010004002,restaurant,Olde Madrid,4.4,42.7265536,-87.7857899
551010004002,restaurant,Hotel Verdant,4.5,42.72783281247861,-87.78388220370483
551010004002,restaurant,Chartroom Restaurant,3.8,42.733987563355235,-87.78267699999999
551010004002,pharmacy,Lakeview Pharmacy,5.0,42.727785,-87.783177
551010004002,pharmacy,Walgreens,3.0,42.7313907,-87.7990202
551010004002,pharmacy,Walgreens,5.0,42.7452354770607,-87.797876894474
551010004002,pharmacy,Avenir Medical,0.0,42.7252082824707,-87.790412902832
551010004002,clinic,Walgreens,5.0,42.7452354770607,-87.797876894474
551010004002,clinic,Walgreens,3.0,42.7313907,-87.7990202
551010004002,clinic,911 Dental Group,0.0,42.72925,-87.78231
551010004002,clinic,Bella Anima,0.0,42.7317257,-87.7906776
551010004002,clinic,"Paul Rohling, MSW, LCSW",0.0,42.72582,-87.78739
551010004002,hospital,Racine Community Health Center,0.0,42.73187254828497,-87.7952746
551010004002,hospital,Northwestern Medical,0.0,42.72476,-87.78543
551010004002,hospital,"Priceless Time Adult Family Home, LLC",0.0,42.744019,-87.801422
551010004002,school,Racine Lutheran High School,0.0,42.7306137084961,-87.8059844970703
551010004002,school,Schools-Parochial,0.0,42.7401161193848,-87.786491394043
551010004002,school,21st Century Preparatory School,0.0,42.7291488647461,-87.7959976196289
551010004002,school,Racine Unified School District,0.0,42.7387199401855,-87.7853927612305
551010004002,school,Schools-Public-Unified,0.0,42.7411689758301,-87.7910842895508
551010004002,bank,Johnson Financial Group,2.0,42.727792,-87.782437
551010004002,bank,Wells Fargo Bank,0.0,42.7425232,-87.7955399
551010004002,bank,Le Credit-Bail Banque Nationale,0.0,48.42804,-71.05465
551010004002,bank,Sehgal Legacy Technologies,0.0,42.46117277751879,-87.86960563234669
551010004002,hair,Partners In Design & Spa,4.1,42.74795,-87.78641
551010004002,hair,The Main Credentials,5.0,42.7303307,-87.7831954
551010004002,hair,Tangles Salon Studio,4.3,42.7303799,-87.78384
551010004002,hair,Blue Dove Salon & Day Spa,4.8,42.705217,-87.826609
551010004002,hair,Crazy Legs Hair Salon,5.0,42.731059261035355,-87.7999749
551010004002,gym,CrossFit Racine,0.0,42.744264,-87.797436
551010004002,gym,Lakefront Branch YMCA,2.0,42.7255638688803,-87.7813806384802
551010004002,gym,Yoga Roots Racine,4.6,42.727095,-87.785437
551010004002,gym,Wisconsin Strength Project,0.0,42.7442665100098,-87.7974166870117
551010004002,gym,Anchor Fitness,0.0,42.72688,-87.7857
551010004002,coffee,Divino Gelato Cafe,3.8,42.73080618406592,-87.78325089813126
551010004002,coffee,The Inclusive Bean,5.0,42.739267,-87.806534
551010004002,coffee,Main Street Bakery,4.9,42.72973,-87.7837
551010004002,coffee,The Maple Table,4.1,42.7272722,-87.783631
