GEOID,centroid_lat,centroid_lon
551010004002,5272181.747858464,-9772665.557430977
551010006003,5269778.138647948,-9775132.86410955
551010007003,5266447.235713149,-9774513.924545692
551010009012,5266498.340330418,-9776192.217826324
551010009031,5264852.570412714,-9776211.880313404
551010012014,5275563.534565896,-9777074.56688307
551332031034,5314595.733619036,-9823715.233479325
550279607003,5384853.155218853,-9888046.111606527
550279607001,5385401.254750884,-9890424.923627976
551010013013,5273760.309597453,-9773512.987297207
551010013022,5273323.102910805,-9772673.700277925
551010013024,5272744.780627303,-9772482.385367604
551010015013,5283067.272452779,-9773928.839268405
551010016014,5278596.897428442,-9784759.023898466
551010016022,5277374.370047529,-9780944.190380579
551010017013,5268465.183274222,-9779708.983290527
551010017061,5270305.926469133,-9780728.635825265
551079602003,5710501.723455299,-10171715.991135918
551079603003,5673156.010118225,-10161572.40024049
551010017032,5273541.2242812505,-9784467.66198517
550590009005,5250166.777533651,-9776969.852895347
551410109004,5520895.340894405,-10017666.113073118
551410101003,5552740.917637559,-10008666.534501767
551410108002,5517341.107997667,-10041604.114836877
551410109005,5509227.503432269,-10018292.100629088
551410116004,5507440.376363491,-9996403.722163022
551410117001,5518864.078432844,-10002744.568936354
551410104002,5565032.934330215,-10036175.798252394
551410109002,5536258.381987502,-10008924.125445701
550819501004,5473012.600334383,-10070501.023147792
551410102003,5565232.923417871,-10030982.608006774
551410103001,5570036.089394193,-10036936.980682787
551410103002,5569160.879142151,-10037344.260385472
551410103003,5568489.114136534,-10037813.87921952
551410103004,5567807.470226381,-10038222.169692028
551314201061,5378986.015918016,-9819183.73935524
550150206001,5457254.320906546,-9810535.588194124
550150206003,5456539.054802206,-9804021.426674986
550819504004,5458024.508683079,-10109663.053503845
550959607021,5680630.759463201,-10310129.81645898
551091210002,5620608.4381967485,-10303118.75839446
551091209041,5605922.224969749,-10289571.949999835
551091207001,5642757.390194973,-10265283.433817372
551091207003,5618778.170164594,-10263288.904520085
551091210003,5620397.6654811585,-10290481.093311552
551039705002,5340007.767985785,-10042903.509196758
550919502004,5538844.792087276,-10257159.788993604
550870126041,5510351.664279873,-9857064.599343833
550870121012,5504335.40141907,-9827539.921309326
550870125053,5514182.92753524,-9843467.92661651
550870125063,5508913.3762610415,-9849672.589979012
550870129032,5527382.266839526,-9828809.475473646
550870111042,5507866.249827343,-9846608.697804881
550870110013,5505795.952478889,-9845760.413343225
550870121023,5506138.890181238,-9827842.394542795
550870121011,5505785.619798314,-9825121.062941758
550730011051,5619116.367196844,-9968162.248542156
550730012031,5597060.559647325,-9974264.955424251
550730011063,5604354.796526295,-9965461.376506055
550730011062,5610580.155385681,-9966089.272795102
550730021014,5578284.905918265,-10047282.902649712
550730021011,5592613.728017168,-10047331.04364157
550730012043,5591740.003762506,-9971228.077294718
550730012042,5595540.143557964,-9981726.991423797
550730014023,5613584.324217125,-9986090.483703868
550730023024,5633544.3035589615,-9994895.02681747
550730021021,5577002.802477463,-10039552.917991003
550730021012,5583675.432797611,-10049618.997768585
550730014012,5615258.274145203,-9987158.095611017
550730014011,5619562.814960729,-9988333.33027266
550730021013,5583007.880949909,-10052191.11906235
550730021022,5579377.911706934,-10032650.653760381
550730011061,5600797.297465008,-9973541.458679631
550730012032,5598107.16042205,-9976344.951670118
550730023012,5619719.561089308,-10034279.432036832
550730023011,5633776.355999566,-10027545.992467979
550730012041,5588940.267442416,-9983053.267312817
550730023021,5618952.74404986,-10020811.00301257
550730023023,5619721.048399853,-10008084.05115604
550730014022,5619723.478200033,-9995757.248386296
550870119024,5510810.670607742,-9829619.097296467
550870110012,5504822.058214334,-9846136.110285131
550870111032,5510960.334388157,-9845221.677525407
550870111031,5510906.255663383,-9846779.90451098
550870126043,5509325.267910618,-9853922.925625809
550870126033,5515148.392836009,-9855963.424250338
550870125052,5513537.664450153,-9848830.861860737
550870126031,5512319.0894962745,-9854585.546277845
550870126032,5511763.727339621,-9852447.960098146
550870129031,5523904.859566641,-9826777.611169504
550870129042,5526149.274958928,-9834155.17439201
550870125043,5512771.706321451,-9836797.32778653
550870101003,5507465.0035259845,-9840832.119675275
550870103001,5506730.274669262,-9841901.46145388
550870119022,5508694.619745921,-9829367.093210144
550870119023,5509139.823861588,-9828164.665223645
550870133003,5514057.827516693,-9833201.287928063
550870133004,5514210.053793224,-9827949.9014567
550870114005,5510572.110362851,-9840722.92608107
550870110021,5504901.706529292,-9844789.354192683
550870129041,5519203.662858071,-9831619.742442032
550870121021,5507612.2923224345,-9828029.176811667
550870105011,5507277.727610037,-9839662.966907948
550870105021,5505961.796423452,-9840071.099782826
550870105013,5506665.846627061,-9839799.374389164
550870110023,5505285.262525586,-9842359.92309649
550870111033,5509548.919734108,-9845230.685050491
550870126042,5505533.870984475,-9854774.972680634
550870119012,5510788.802593913,-9831520.732266469
550870110022,5505582.348988257,-9843264.362019554
550870105012,5507537.96900189,-9838476.760053018
550870119011,5510614.23914519,-9832532.962088717
550870110011,5504674.680313959,-9847453.944851357
550859715004,5724154.410305372,-9953059.083794802
550710001005,5483369.834986989,-9755567.73941059
551039704001,5361724.209295278,-10056214.562032398
550090102022,5531889.310340367,-9807158.60809579
550730014021,5615905.603380379,-9981943.314184774
550730023013,5626360.972080201,-10025415.382660799
550730013002,5605734.243391234,-9979093.609359602
550730023022,5633622.954560251,-10007923.967417507
550730006021,5613552.628510245,-9979155.219931148
550730007005,5614828.591555422,-9975835.229920764
550079604011,5853305.6616902,-10176500.737266738
550079604022,5844444.000538092,-10147792.543676559
550079604021,5865947.840013425,-10144761.818495613
550079604023,5844814.76879072,-10130458.496263951
550079601003,5934618.49454671,-10117671.79494588
550870119021,5509625.07844975,-9829812.484751014
550870121022,5506672.197798212,-9826929.900513088
550870111041,5508423.619859974,-9845227.200265711
550039504001,5872344.924226933,-10119821.208270134
550039507002,5790388.13311882,-10100352.599037329
550039505001,5857795.387695032,-10116585.044305557
550039506001,5829135.926831979,-10087364.993890125
550039507001,5808872.5938380165,-10077434.167911097
550039900000,5954369.777219231,-10062637.809557065
550039505002,5835835.575612814,-10111188.183824424
550039507003,5791195.6207598485,-10064220.750368826
550819503004,5454018.896920445,-10112144.936744904
550819504001,5456852.642513736,-10108698.094266327
550090213022,5541684.282291996,-9808591.644953454
550090020021,5539499.042350727,-9791369.398355518
550090102023,5533689.009153757,-9805453.366057407
550630102025,5453923.300151107,-10166463.245621243
550630102023,5457158.71582678,-10159668.728210684
550630107004,5425786.731729225,-10147332.369737409
550630102024,5464909.292654101,-10164146.717144663
550630102043,5460237.912687724,-10158662.843830042
550630001007,5444044.130047669,-10156017.204312738
550630104014,5447885.845431647,-10147510.72928407
550630102052,5470073.983626062,-10154163.561730174
550630102053,5461669.685812217,-10150435.695570342
550630102042,5456443.387651685,-10157861.346494872
550630104041,5451483.968284914,-10157151.69872551
550630104042,5452009.956787269,-10155773.790792711
550630104031,5450261.247098871,-10155573.65473483
550630104033,5448054.028202571,-10156138.34876029
550511802002,5848154.767845891,-10070253.213768281
550350004021,5590273.615875645,-10181166.662029035
550730011032,5607756.628237569,-9968803.442948231
550471001001,5459593.166713766,-9905821.962971294
550471002001,5461766.824918319,-9905574.13700437
550471002003,5462144.529599587,-9899525.86859744
550471006003,5420601.783701919,-9908826.187917141
550471006004,5421050.268025852,-9904639.780263126
550471004001,5443933.794159383,-9902877.064660516
550471006002,5416331.910489485,-9906223.27320509
550630107002,5431430.318887056,-10146366.862360217
550630003003,5436743.829466245,-10159257.422299536
550630002002,5438892.024344902,-10158071.152968828
550630102051,5454992.762502467,-10154396.448371906
550630104013,5450785.626977865,-10152291.802666228
550630102041,5454784.105909745,-10157780.768918073
550630011021,5430475.647549802,-10153906.55909639
550630104034,5448121.569523341,-10155135.182313517
550630104032,5449142.148343873,-10155824.524234297
550630001006,5443622.98004379,-10154487.92412054
550630004011,5435212.103250493,-10157226.887566062
550630011023,5430879.801671909,-10155017.44733078
550630004012,5436190.3097565165,-10157225.428072972
550630004022,5436861.715992002,-10156947.142854623
550630004021,5437851.798629512,-10157142.73287648
550630004023,5436202.959552905,-10156943.906351523
550630006001,5436206.980509909,-10154969.8998287
550039508004,5876762.579683635,-10115474.198472653
551039703001,5366637.019487744,-10063867.371509265
551039703002,5365741.258067181,-10060349.162326658
551139400012,5773511.6223150585,-10168496.369404508
551139400022,5769838.621577648,-10174276.067199625
551131005011,5796380.197719786,-10144403.860121895
551139400021,5762474.068935392,-10169595.025004068
551131005022,5783016.06767412,-10166200.770525664
551139400011,5760795.962475039,-10160598.287184397
551131005012,5780339.491022277,-10141088.487783046
551131005021,5798044.071385534,-10177708.564564537
551131008003,5734853.767586971,-10120247.645379324
551131005023,5788415.183817475,-10176258.014868906
551091204013,5648440.042231672,-10315271.632255537
551091208024,5617057.620347854,-10277337.783182349
551091208023,5614125.520367808,-10272577.47015248
551091206022,5651079.360792649,-10306071.129109189
551091208011,5616292.815778767,-10284244.001836203
551091204022,5628911.5097375745,-10324853.431733625
551091208012,5615985.073573179,-10282236.104409212
551091209051,5614624.573534554,-10322403.382130025
551091209053,5614638.58879784,-10324311.405215781
551091206023,5647492.58707206,-10311211.544297198
551091209062,5605321.169048549,-10322720.669887526
551091202023,5622339.226956691,-10313645.435610903
551390037041,5488510.817227407,-9849058.206411315
551390020022,5455840.595289449,-9874476.768253379
551390020021,5466789.23560086,-9873392.395221615
551390020023,5468643.3450175915,-9879886.124308763
551390020011,5473862.010527794,-9880174.75901437
551390020012,5473481.803430234,-9872014.97744956
551390022014,5484935.984201805,-9875856.010983383
551390037042,5485387.49438146,-9846060.338003714
551390018034,5469281.056633853,-9861562.216238521
551390037032,5494061.451759171,-9852580.411903454
551390024014,5499497.43849871,-9849386.80326419
551390037031,5486949.484208423,-9852725.491472475
551390024012,5500072.462565798,-9848042.531763585
551390022013,5481917.767799165,-9869807.593591254
551390024022,5502121.264700828,-9849029.599766023
551390024021,5498460.549221289,-9852911.197117615
551390024023,5501450.02515564,-9852515.11329143
551390018032,5467688.416192342,-9862077.957639346
551390037033,5490523.762096914,-9852658.840357635
551390017001,5474835.0563738365,-9858200.136207394
551390024013,5496976.695116756,-9852328.308630424
551390024011,5499128.234703231,-9850743.718387272
551390005024,5469129.834690949,-9856198.560046285
551390005023,5469988.276417988,-9856235.991912022
551390005021,5470106.781419074,-9855401.1977391
551390005022,5469546.007194107,-9855400.133337324
551390005012,5468163.784204133,-9856227.33938362
551390005011,5469401.00680645,-9856656.74987265
551390007001,5469506.914273966,-9857150.072200075
551010006001,5270858.646016552,-9775214.932052994
551010006002,5270345.192055804,-9775436.715476152
551010006004,5268941.907425473,-9774869.157901743
551010006005,5268487.729503721,-9775103.541820176
551010007001,5267623.462523442,-9774263.385710524
551010007002,5266872.000563718,-9773784.273425365
551010008001,5266154.479639618,-9772287.186871858
551010008002,5264572.776360937,-9772981.514567073
551010008003,5263217.823193706,-9774290.297597291
551010008004,5265405.960845892,-9775110.811509138
551010009011,5267354.97851712,-9776660.195786875
551010009013,5266617.803807495,-9778300.281646885
551010009032,5265462.092406565,-9777233.908658082
550870122001,5508653.211284299,-9826978.204824004
550870122002,5508179.986620417,-9826421.729379598
550870123002,5509443.580895917,-9824711.52519375
550870124001,5510726.706035167,-9827302.159318615
551010015011,5284170.432489625,-9774652.823004672
551010015012,5285745.231849716,-9776545.833593395
551010009033,5264395.430949888,-9777322.693863245
551010015052,5278177.147979483,-9770526.586451227
551010015042,5278129.48662032,-9772924.343006253
550759611004,5629397.80252186,-9768395.648886614
550859701031,5704663.151951788,-9934247.68074197
550859701042,5724709.21638604,-9925560.627360584
550859701043,5738422.713385495,-9936053.658850176
550859709004,5748930.554315042,-9975282.473050037
550859706031,5735488.711677892,-9958496.268705066
550859706042,5758858.86977793,-9952897.643264532
550859706041,5746732.118240014,-9956502.606571443
550859704001,5720732.412220003,-9942125.805799145
550859701041,5750992.838006181,-9934614.526329651
550859709003,5742824.199692281,-9977766.958184825
550859706032,5732568.310104407,-9950353.18259101
550859711003,5717547.543230042,-9985601.274596104
550859714002,5721245.974867716,-9953289.87002719
550870124002,5511132.730404013,-9825160.22743594
550870129022,5525799.737170846,-9844999.392078435
550870129021,5519289.926187823,-9843962.482595213
551010017033,5270773.594470006,-9784086.489793222
551010017052,5272906.545039276,-9779520.429561019
551010017051,5273591.8524215,-9778162.564906036
551010018021,5271578.09479546,-9798293.014382051
551010018011,5265924.915746583,-9801176.00400632
551010019003,5277276.186863396,-9797757.78909476
550350005011,5597699.997619968,-10185209.230928674
550630006002,5436839.125744277,-10154835.736337638
550870126023,5508950.277743931,-9872250.372138897
550870125061,5504415.577695358,-9849724.426492281
551010028002,5284361.686311862,-9819870.167893011
551010028003,5282164.300484774,-9819799.026827179
551010028004,5280952.592534347,-9826453.047834883
550350005012,5598516.788973162,-10184345.78996157
550350005022,5595217.885396378,-10181988.038460625
550350006001,5594275.63627864,-10186322.14233901
550350006002,5593870.443016984,-10185043.40715715
550350006003,5593570.665848663,-10183777.206162767
550350006004,5592716.197432697,-10184138.560439333
550630007002,5434469.453144167,-10153810.037173297
550630006003,5437653.146234637,-10152897.568134299
551091204012,5637549.617593936,-10318226.99148799
551091204021,5630175.166265072,-10316877.086949738
551091206011,5630621.195470433,-10302780.734297436
551091205023,5643359.282061381,-10297246.653887186
551091209052,5614004.802610103,-10320187.408515241
551091204014,5651209.524611146,-10321489.945443342
551091206021,5648667.686671144,-10293192.716993311
551091206012,5633687.286282504,-10289593.617760867
551091206024,5647625.884895426,-10279300.280364238
551091208022,5631514.579163773,-10276595.054074839
551091209061,5606339.54446952,-10317243.831854487
551091208021,5605536.759750974,-10276633.91494321
551091204011,5644423.133295322,-10320558.050242791
550791010003,5309611.300668075,-9801929.287373189
550790028002,5328414.3917432735,-9792740.798082707
550870127002,5517995.868328465,-9866098.395395014
550790071002,5323355.116692777,-9785148.43692617
550870128004,5540838.818784937,-9842149.461746031
550790122003,5319384.176716833,-9790852.519324297
550350006005,5593572.805053326,-10181945.226545868
550350007001,5591597.389574887,-10184543.280213257
550350007002,5592093.305352235,-10183513.491365865
550350007003,5591592.708097134,-10182877.424275206
550350007005,5590670.786884197,-10182806.819965506
550350007006,5589661.787532508,-10183177.61592753
550630007003,5434705.66442812,-10154400.01371198
550630009002,5432483.366019663,-10157543.281480048
550630009001,5434511.814896861,-10157755.95715373
550630010001,5434487.988908326,-10156211.322833404
550630010002,5433929.366691832,-10156133.195530402
550630010004,5432263.869452805,-10156261.785522098
550630011011,5434104.121656533,-10155150.5287414
550790803002,5325900.914712986,-9781915.912250005
551010020021,5281825.473387531,-9807094.801071165
551010021002,5266630.365043223,-9810483.12722345
551019800001,5265198.613459679,-9805142.31600888
551010024012,5263563.713615005,-9827624.554493342
551010024013,5263282.0776248,-9829139.646318827
550630008003,5435089.511417756,-10156444.435839918
550630008004,5435094.14174039,-10155817.55318383
550350005013,5597911.924342355,-10182912.637252828
551010007004,5266785.6579134185,-9775307.194185805
551010005005,5268744.581863984,-9773728.052302392
551010015053,5277407.739084796,-9772115.19344528
551010010013,5267627.161633534,-9778718.60861098
551010024014,5261626.337550395,-9828978.934671907
551010024021,5262200.062105427,-9826507.893442294
551010024022,5265122.255952006,-9824859.512484154
551010024023,5263470.869179075,-9824016.283979652
551010026002,5265127.677485929,-9820584.062721753
550699601002,5701981.408816352,-9971265.673069656
550699605002,5683277.64842674,-9971078.124509942
550699604002,5657571.3237510715,-10010269.198148884
550699610001,5648224.663945915,-9981031.909594506
550699606003,5649708.750222998,-9964553.516315786
550699609001,5651189.518297705,-9985372.339430192
550699606002,5645571.780257576,-9984716.11299578
550699601001,5704819.148829098,-9979828.208010675
550699606001,5666310.063555028,-9961925.620212764
550630001005,5442439.271759133,-10156281.827719674
550630001002,5441792.591980513,-10157232.29994647
550630002003,5440407.760022797,-10157216.91228038
550630002004,5440647.933821121,-10155579.179510137
550870128005,5520991.7185906675,-9857784.321158865
551010026005,5255035.366587077,-9828289.252054902
551010027011,5277011.7072886415,-9818696.821802186
551010027012,5278210.64138157,-9820743.373195693
551010027023,5274767.898392769,-9818914.457380284
551010027022,5269741.079298918,-9820590.672992103
551010027021,5272071.680933599,-9826656.059983764
551010016012,5284608.611283616,-9784645.427041149
551010016021,5276519.144770377,-9778924.54389631
551010017012,5263925.533503808,-9781647.564658633
551010009034,5262704.851902563,-9776928.232659295
551010009041,5264733.208524813,-9778303.810837438
551010009043,5262777.802886559,-9779099.115109319
551010010011,5268784.98592347,-9778479.446865622
550471003003,5441649.455368559,-9920317.925525596
550471002002,5461581.929030708,-9901853.027732057
550471004003,5440101.183963241,-9901988.817482803
550471001002,5459021.579489942,-9897803.139295489
550471003001,5452242.952248676,-9913611.108422173
550471001003,5457842.238816913,-9902149.836145636
551010010021,5267831.852068652,-9777322.836951884
551010010022,5268397.727915084,-9777299.555570755
551010010031,5269099.552378054,-9776204.080628699
551010010032,5268404.390211324,-9776475.012912348
551010010033,5268398.8565562,-9775919.874437988
551010010034,5267905.42107075,-9776240.025414739
550471006001,5429852.763229135,-9907733.395529022
550471004002,5434681.907037725,-9898110.176346987
550471003002,5442069.703385609,-9925888.586839441
551110004011,5384955.38355127,-9988758.32920582
551110005002,5369965.501739617,-9987608.032638798
550039508001,5931180.611315383,-10087122.846220415
551010012012,5274435.387491198,-9774544.225076541
551010012021,5273702.159285922,-9775458.806511901
551010012023,5272352.202931086,-9774273.255262367
551010012024,5272360.726256845,-9775390.857918486
551010012025,5272427.176624021,-9776647.408748562
551010013014,5273859.085296253,-9772862.916052135
551010013021,5273778.38562767,-9771292.088351438
550791016005,5312378.363122324,-9795109.560701592
550870128001,5532336.419102946,-9859894.18047524
550870127003,5518970.871383198,-9871071.778721483
550870107004,5503743.843934063,-9839433.701556258
550870106013,5505818.918004635,-9837854.574265579
550870128002,5537120.1228878135,-9854282.530017128
550870111011,5509487.008029524,-9842959.09867026
550870132001,5541350.933505402,-9874387.31168693
550870115012,5508588.001651964,-9838397.788350737
